    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     705.90       4.016       5.694       0.000       0.000       0.000       0.000       9.710
     706.00       4.024       5.696       0.000       0.000       0.000       0.000       9.720
     706.60       4.072       5.708       0.000       0.000       0.000       0.000       9.780
     707.00       4.105       5.715       0.000       0.000       0.000       0.000       9.820
     707.60       4.154       5.726       0.000       0.000       0.000       0.000       9.880
     707.90       4.152       5.696       0.000       0.000       0.000       0.000       9.848
     708.00       4.151       5.686       0.000       0.000       0.000       0.000       9.837
     708.90       4.146       5.596       0.000       0.000       0.000       0.000       9.742
     709.00       4.146       5.586       0.000       0.000       0.000       0.000       9.731
     709.20       4.144       5.566       0.000       0.000       0.000       0.000       9.710
     709.30       4.118       5.522       0.000       0.000       0.000       0.000       9.640
     709.70       4.014       5.346       0.000       0.000       0.000       0.000       9.360
     710.00       3.934       5.215       0.000       0.000       0.000       0.000       9.150
     710.80       4.029       5.271       0.000       0.000       0.000       0.000       9.300
     711.00       4.034       5.261       0.000       0.000       0.000       0.000       9.295
     711.90       4.058       5.216       0.000       0.000       0.000       0.000       9.274
     712.00       4.061       5.211       0.000       0.000       0.000       0.000       9.272
     712.50       4.074       5.186       0.000       0.000       0.000       0.000       9.260
     712.70       4.077       5.173       0.000       0.000       0.000       0.000       9.250
     712.90       4.080       5.160       0.000       0.000       0.000       0.000       9.240
     713.00       4.082       5.153       0.000       0.000       0.000       0.000       9.235
     713.50       4.089       5.121       0.000       0.000       0.000       0.000       9.210
     713.90       4.095       5.095       0.000       0.000       0.000       0.000       9.190
     714.00       4.097       5.088       0.000       0.000       0.000       0.000       9.185
     714.10       4.098       5.082       0.000       0.000       0.000       0.000       9.180
     714.70       4.130       5.072       0.000       0.000       0.000       0.000       9.203
     715.00       4.146       5.068       0.000       0.000       0.000       0.000       9.214
     715.60       4.178       5.058       0.000       0.000       0.000       0.000       9.236
     715.70       4.184       5.056       0.000       0.000       0.000       0.000       9.240
     716.00       4.163       5.006       0.000       0.000       0.000       0.000       9.169
     716.50       4.127       4.923       0.000       0.000       0.000       0.000       9.051
     717.00       4.091       4.841       0.000       0.000       0.000       0.000       8.932
     717.20       4.076       4.808       0.000       0.000       0.000       0.000       8.885
     717.60       4.047       4.743       0.000       0.000       0.000       0.000       8.790
     718.00       4.085       4.757       0.000       0.000       0.000       0.000       8.843
     718.10       4.095       4.761       0.000       0.000       0.000       0.000       8.856
     718.50       4.133       4.775       0.000       0.000       0.000       0.000       8.908
     719.00       4.182       4.792       0.000       0.000       0.000       0.000       8.974
     719.20       4.201       4.799       0.000       0.000       0.000       0.000       9.000
     719.40       4.208       4.792       0.000       0.000       0.000       0.000       9.000
     720.00       4.230       4.770       0.000       0.000       0.000       0.000       9.000
     720.40       4.104       4.856       0.000       0.000       0.000       0.000       8.960
     720.90       3.947       4.963       0.000       0.000       0.000       0.000       8.910
     721.00       3.923       4.993       0.000       0.000       0.000       0.000       8.917
     721.30       3.852       5.085       0.000       0.000       0.000       0.000       8.937
     721.40       3.828       5.116       0.000       0.000       0.000       0.000       8.944
     721.80       3.732       5.240       0.000       0.000       0.000       0.000       8.972
     722.00       3.684       5.302       0.000       0.000       0.000       0.000       8.986
     722.50       3.563       5.457       0.000       0.000       0.000       0.000       9.020
     722.60       3.524       5.466       0.000       0.000       0.000       0.000       8.990
     722.90       3.409       5.491       0.000       0.000       0.000       0.000       8.900
     723.00       3.371       5.499       0.000       0.000       0.000       0.000       8.870
     723.40       3.605       5.145       0.000       0.000       0.000       0.000       8.750
     723.50       3.662       5.058       0.000       0.000       0.000       0.000       8.720
     723.90       3.681       4.919       0.000       0.000       0.000       0.000       8.600
     724.00       6.149       8.151       0.000       0.000       0.000       0.000      14.300
     724.20       9.715      16.386       0.000       0.000       0.000       0.000      26.101
     724.80      12.232      49.268       0.000       0.000       0.000       0.000      61.500
     724.90       9.231      45.069       0.000       0.000       0.000       0.000      54.300
     725.00       8.859      42.042       0.000       0.000       0.000       0.000      50.901
     725.10       8.460      39.042       0.000       0.000       0.000       0.000      47.502
     725.50       6.586      27.314       0.000       0.000       0.000       0.000      33.901
     725.70       5.484      21.616       0.000       0.000       0.000       0.000      27.100
     726.00       5.163      18.904       0.000       0.000       0.000       0.000      24.067
     726.40       4.619      15.403       0.000       0.000       0.000       0.000      20.022
     727.00       3.558      10.397       0.000       0.000       0.000       0.000      13.956
     727.30       2.917       8.005       0.000       0.000       0.000       0.000      10.922
     727.50       2.449       6.451       0.000       0.000       0.000       0.000       8.900
     727.60       2.490       6.428       0.000       0.000       0.000       0.000       8.918
     728.00       2.656       6.334       0.000       0.000       0.000       0.000       8.990
     728.30       2.782       6.262       0.000       0.000       0.000       0.000       9.044
     728.70       2.951       6.165       0.000       0.000       0.000       0.000       9.116
     729.00       3.080       6.090       0.000       0.000       0.000       0.000       9.170
     729.40       3.161       5.817       0.000       0.000       0.000       0.000       8.977
     729.80       3.235       5.550       0.000       0.000       0.000       0.000       8.785
     730.00       3.270       5.419       0.000       0.000       0.000       0.000       8.689
     730.60       3.365       5.035       0.000       0.000       0.000       0.000       8.400
     730.90       3.439       4.892       0.000       0.000       0.000       0.000       8.331
     731.00       3.463       4.845       0.000       0.000       0.000       0.000       8.307
     731.10       3.487       4.798       0.000       0.000       0.000       0.000       8.284
     731.50       3.580       4.612       0.000       0.000       0.000       0.000       8.192
     731.80       3.649       4.474       0.000       0.000       0.000       0.000       8.123
     731.82       3.653       4.465       0.000       0.000       0.000       0.000       8.118
     732.00       8.076       0.000       0.000       0.000       0.000       0.000       8.076
     732.20       8.030       0.000       0.000       0.000       0.000       0.000       8.030
     732.50       6.972       0.000       0.000       0.000       0.000       0.000       6.972
     733.00       5.208       0.000       0.000       0.000       0.000       0.000       5.208
     733.30       4.150       0.000       0.000       0.000       0.000       0.000       4.150
     734.00       8.618       0.000       0.000       0.000       0.000       0.000       8.618
     734.50      11.809       0.000       0.000       0.000       0.000       0.000      11.809
     735.00      15.000       0.000       0.000       0.000       0.000       0.000      15.000
     735.30      15.337       0.000       0.000       0.000       0.000       0.000      15.337
     735.90      16.013       0.000       0.000       0.000       0.000       0.000      16.013
     736.00      16.125       0.000       0.000       0.000       0.000       0.000      16.125
     736.50      16.688       0.000       0.000       0.000       0.000       0.000      16.688
     736.60      16.800       0.000       0.000       0.000       0.000       0.000      16.800
     737.00      10.400       0.000       0.000       0.000       0.000       0.000      10.400
     737.20      12.300       0.000       0.000       0.000       0.000       0.000      12.300
     737.50      15.150       0.000       0.000       0.000       0.000       0.000      15.150
     737.60      16.100       0.000       0.000       0.000       0.000       0.000      16.100
     738.00      12.500       0.000       0.000       0.000       0.000       0.000      12.500
     738.40       8.900       0.000       0.000       0.000       0.000       0.000       8.900
     739.00      14.375       0.000       0.000       0.000       0.000       0.000      14.375
     739.20      16.200       0.000       0.000       0.000       0.000       0.000      16.200
     739.30      15.310       0.000       0.000       0.000       0.000       0.000      15.310
     740.00       9.080       0.000       0.000       0.000       0.000       0.000       9.080
     740.20       7.300       0.000       0.000       0.000       0.000       0.000       7.300
     740.30       8.689       0.000       0.000       0.000       0.000       0.000       8.689
     741.00      18.411       0.000       0.000       0.000       0.000       0.000      18.411
     741.10      19.800       0.000       0.000       0.000       0.000       0.000      19.800
     741.20      18.907       0.000       0.000       0.000       0.000       0.000      18.907
     742.00      11.769       0.000       0.000       0.000       0.000       0.000      11.769
     742.20       9.985       0.000       0.000       0.000       0.000       0.000       9.985
     742.40       8.200       0.000       0.000       0.000       0.000       0.000       8.200
     743.00       6.333       0.000       0.000       0.000       0.000       0.000       6.333
     743.20       5.711       0.000       0.000       0.000       0.000       0.000       5.711
     743.30       5.400       0.000       0.000       0.000       0.000       0.000       5.400
     743.50      10.075       0.000       0.000       0.000       0.000       0.000      10.075
     743.70      14.751       0.000       0.000       0.000       0.000       0.000      14.751
     744.00      21.763       0.000       0.000       0.000       0.000       0.000      21.763
     744.10      24.100       0.000       0.000       0.000       0.000       0.000      24.100
     744.50      17.100       0.000       0.000       0.000       0.000       0.000      17.100
     744.90      10.100       0.000       0.000       0.000       0.000       0.000      10.100
     745.00       9.675       0.000       0.000       0.000       0.000       0.000       9.675
     745.10       9.250       0.000       0.000       0.000       0.000       0.000       9.250
     746.00       5.425       0.000       0.000       0.000       0.000       0.000       5.425
     746.10       5.000       0.000       0.000       0.000       0.000       0.000       5.000
     746.40       4.850       0.000       0.000       0.000       0.000       0.000       4.850
     746.70       4.700       0.000       0.000       0.000       0.000       0.000       4.700
     747.00       5.487       0.000       0.000       0.000       0.000       0.000       5.487
     747.50       6.800       0.000       0.000       0.000       0.000       0.000       6.800
     747.60       9.459       0.000       0.000       0.000       0.000       0.000       9.459
     748.00      20.100       0.000       0.000       0.000       0.000       0.000      20.100
     748.50      33.400       0.000       0.000       0.000       0.000       0.000      33.400
     749.00      20.329       0.000       0.000       0.000       0.000       0.000      20.329
     749.20      15.100       0.000       0.000       0.000       0.000       0.000      15.100
     750.00       9.820       0.000       0.000       0.000       0.000       0.000       9.820
     750.01       9.754       0.000       0.000       0.000       0.000       0.000       9.754
     750.70       5.200       0.000       0.000       0.000       0.000       0.000       5.200
     751.00       5.003       0.000       0.000       0.000       0.000       0.000       5.003
     751.60       4.609       0.000       0.000       0.000       0.000       0.000       4.609
     752.00       4.347       0.000       0.000       0.000       0.000       0.000       4.347
     752.30       4.150       0.000       0.000       0.000       0.000       0.000       4.150
     752.90       4.364       0.000       0.000       0.000       0.000       0.000       4.364
     753.00       4.400       0.000       0.000       0.000       0.000       0.000       4.400
     754.00       4.757       0.000       0.000       0.000       0.000       0.000       4.757
     754.40       4.900       0.000       0.000       0.000       0.000       0.000       4.900
     754.50       7.807       0.000       0.000       0.000       0.000       0.000       7.807
     755.00      22.343       0.000       0.000       0.000       0.000       0.000      22.343
     755.20      28.157       0.000       0.000       0.000       0.000       0.000      28.157
     755.50      36.879       0.000       0.000       0.000       0.000       0.000      36.879
     755.80      45.600       0.000       0.000       0.000       0.000       0.000      45.600
     756.00      40.185       0.000       0.000       0.000       0.000       0.000      40.185
     756.20      34.771       0.000       0.000       0.000       0.000       0.000      34.771
     756.50      26.650       0.000       0.000       0.000       0.000       0.000      26.650
     757.00      13.115       0.000       0.000       0.000       0.000       0.000      13.115
     757.20       7.700       0.000       0.000       0.000       0.000       0.000       7.700
     757.50       9.575       0.000       0.000       0.000       0.000       0.000       9.575
     757.70      10.825       0.000       0.000       0.000       0.000       0.000      10.825
     758.00      12.700       0.000       0.000       0.000       0.000       0.000      12.700
     758.30      11.380       0.000       0.000       0.000       0.000       0.000      11.380
     758.40      10.940       0.000       0.000       0.000       0.000       0.000      10.940
     758.50      10.500       0.000       0.000       0.000       0.000       0.000      10.500
     758.68       9.708       0.000       0.000       0.000       0.000       0.000       9.708
     758.70       9.620       0.000       0.000       0.000       0.000       0.000       9.620
     759.00       8.300       0.000       0.000       0.000       0.000       0.000       8.300
     759.40       6.540       0.000       0.000       0.000       0.000       0.000       6.540
     759.44       6.364       0.000       0.000       0.000       0.000       0.000       6.364
     759.50       6.100       0.000       0.000       0.000       0.000       0.000       6.100
     760.00       3.900       0.000       0.000       0.000       0.000       0.000       3.900
     760.20       4.045       0.000       0.000       0.000       0.000       0.000       4.045
     760.22       4.060       0.000       0.000       0.000       0.000       0.000       4.060
     760.30       4.059       0.000       0.000       0.000       0.000       0.000       4.059
     760.40       4.058       0.000       0.000       0.000       0.000       0.000       4.058
     760.50       4.056       0.000       0.000       0.000       0.000       0.000       4.056
     760.70       4.054       0.000       0.000       0.000       0.000       0.000       4.054
     761.00       4.050       0.000       0.000       0.000       0.000       0.000       4.050
     761.10       4.049       0.000       0.000       0.000       0.000       0.000       4.049
     761.13       4.049       0.000       0.000       0.000       0.000       0.000       4.049
     761.20       4.048       0.000       0.000       0.000       0.000       0.000       4.048
     761.50       4.044       0.000       0.000       0.000       0.000       0.000       4.044
     762.00       4.038       0.000       0.000       0.000       0.000       0.000       4.038
     762.00       4.038       0.000       0.000       0.000       0.000       0.000       4.038
     762.01       4.038       0.000       0.000       0.000       0.000       0.000       4.038
     762.10       4.036       0.000       0.000       0.000       0.000       0.000       4.036
     762.20       4.035       0.000       0.000       0.000       0.000       0.000       4.035
     762.50       4.031       0.000       0.000       0.000       0.000       0.000       4.031
     763.00       4.025       0.000       0.000       0.000       0.000       0.000       4.025
     763.20       4.023       0.000       0.000       0.000       0.000       0.000       4.023
     763.30       4.021       0.000       0.000       0.000       0.000       0.000       4.021
     763.50       4.019       0.000       0.000       0.000       0.000       0.000       4.019
     763.70       4.016       0.000       0.000       0.000       0.000       0.000       4.016
     764.00       4.013       0.000       0.000       0.000       0.000       0.000       4.013
     764.40       4.008       0.000       0.000       0.000       0.000       0.000       4.008
     764.50       4.006       0.000       0.000       0.000       0.000       0.000       4.006
     764.60       4.005       0.000       0.000       0.000       0.000       0.000       4.005
     764.70       4.004       0.000       0.000       0.000       0.000       0.000       4.004
     765.00       4.000       0.000       0.000       0.000       0.000       0.000       4.000
     765.10       3.998       0.000       0.000       0.000       0.000       0.000       3.998
     765.15       3.997       0.000       0.000       0.000       0.000       0.000       3.997
     765.30       3.994       0.000       0.000       0.000       0.000       0.000       3.994
     765.40       3.992       0.000       0.000       0.000       0.000       0.000       3.992
     765.50       3.990       0.000       0.000       0.000       0.000       0.000       3.990
     765.70       3.986       0.000       0.000       0.000       0.000       0.000       3.986
     766.00       3.980       0.000       0.000       0.000       0.000       0.000       3.980
     766.50       3.970       0.000       0.000       0.000       0.000       0.000       3.970
     766.70       3.966       0.000       0.000       0.000       0.000       0.000       3.966
     767.00       3.960       0.000       0.000       0.000       0.000       0.000       3.960
     767.10       3.958       0.000       0.000       0.000       0.000       0.000       3.958
     767.30       3.954       0.000       0.000       0.000       0.000       0.000       3.954
     767.50       3.950       0.000       0.000       0.000       0.000       0.000       3.950
     767.70       3.946       0.000       0.000       0.000       0.000       0.000       3.946
     767.90       3.942       0.000       0.000       0.000       0.000       0.000       3.942
     768.00       3.940       0.000       0.000       0.000       0.000       0.000       3.940
     768.30       3.934       0.000       0.000       0.000       0.000       0.000       3.934
     768.40       3.932       0.000       0.000       0.000       0.000       0.000       3.932
     768.50       3.930       0.000       0.000       0.000       0.000       0.000       3.930
     768.70       3.926       0.000       0.000       0.000       0.000       0.000       3.926
     768.80       3.924       0.000       0.000       0.000       0.000       0.000       3.924
     769.00       3.920       0.000       0.000       0.000       0.000       0.000       3.920
     769.20       3.916       0.000       0.000       0.000       0.000       0.000       3.916
     769.50       3.910       0.000       0.000       0.000       0.000       0.000       3.910
     769.60       3.908       0.000       0.000       0.000       0.000       0.000       3.908
     770.00       3.900       0.000       0.000       0.000       0.000       0.000       3.900
     770.20       3.896       0.000       0.000       0.000       0.000       0.000       3.896
     770.40       3.892       0.000       0.000       0.000       0.000       0.000       3.892
     770.41       3.892       0.000       0.000       0.000       0.000       0.000       3.892
     770.50       3.890       0.000       0.000       0.000       0.000       0.000       3.890
     770.80       3.884       0.000       0.000       0.000       0.000       0.000       3.884
     771.00       3.880       0.000       0.000       0.000       0.000       0.000       3.880
     771.50       3.870       0.000       0.000       0.000       0.000       0.000       3.870
     771.60       3.868       0.000       0.000       0.000       0.000       0.000       3.868
     772.00       3.860       0.000       0.000       0.000       0.000       0.000       3.860
     772.40       3.852       0.000       0.000       0.000       0.000       0.000       3.852
     772.50       3.850       0.000       0.000       0.000       0.000       0.000       3.850
     773.00       3.840       0.000       0.000       0.000       0.000       0.000       3.840
     773.10       3.838       0.000       0.000       0.000       0.000       0.000       3.838
     773.50       3.830       0.000       0.000       0.000       0.000       0.000       3.830
     774.00       3.820       0.000       0.000       0.000       0.000       0.000       3.820
     774.50       3.810       0.000       0.000       0.000       0.000       0.000       3.810
     775.00       3.800       0.000       0.000       0.000       0.000       0.000       3.800
     775.10       3.798       0.000       0.000       0.000       0.000       0.000       3.798
     775.50       3.790       0.000       0.000       0.000       0.000       0.000       3.790
     775.70       3.786       0.000       0.000       0.000       0.000       0.000       3.786
     775.80       3.784       0.000       0.000       0.000       0.000       0.000       3.784
     776.00       3.780       0.000       0.000       0.000       0.000       0.000       3.780
     776.00       3.780       0.000       0.000       0.000       0.000       0.000       3.780
     776.01       3.780       0.000       0.000       0.000       0.000       0.000       3.780
     776.50       3.770       0.000       0.000       0.000       0.000       0.000       3.770
     777.00       3.760       0.000       0.000       0.000       0.000       0.000       3.760
     777.50       3.750       0.000       0.000       0.000       0.000       0.000       3.750
     778.00       3.740       0.000       0.000       0.000       0.000       0.000       3.740
     778.10       3.738       0.000       0.000       0.000       0.000       0.000       3.738
     778.50       3.730       0.000       0.000       0.000       0.000       0.000       3.730
     778.70       3.726       0.000       0.000       0.000       0.000       0.000       3.726
     778.80       3.724       0.000       0.000       0.000       0.000       0.000       3.724
     778.80       3.724       0.000       0.000       0.000       0.000       0.000       3.724
     779.00       3.720       0.000       0.000       0.000       0.000       0.000       3.720
     779.50       3.710       0.000       0.000       0.000       0.000       0.000       3.710
     779.80       3.704       0.000       0.000       0.000       0.000       0.000       3.704
     779.90       3.702       0.000       0.000       0.000       0.000       0.000       3.702
     780.00       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     780.30       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     780.32       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     780.50       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     781.00       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     781.20       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     781.50       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     782.00       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     782.50       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     782.90       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     783.00       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     783.20       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     783.50       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     783.80       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     784.00       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     784.40       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     784.50       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     784.80       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     785.00       3.700       0.000       0.000       0.000       0.000       0.000       3.700
     785.50       3.706       0.000       0.000       0.000       0.000       0.000       3.706
     786.00       3.713       0.000       0.000       0.000       0.000       0.000       3.713
     786.20       3.715       0.000       0.000       0.000       0.000       0.000       3.715
     786.40       3.718       0.000       0.000       0.000       0.000       0.000       3.718
     786.47       3.718       0.000       0.000       0.000       0.000       0.000       3.718
     786.48       3.718       0.000       0.000       0.000       0.000       0.000       3.718
     786.50       3.719       0.000       0.000       0.000       0.000       0.000       3.719
     787.00       3.725       0.000       0.000       0.000       0.000       0.000       3.725
     787.50       3.731       0.000       0.000       0.000       0.000       0.000       3.731
     787.60       3.732       0.000       0.000       0.000       0.000       0.000       3.732
     787.70       3.734       0.000       0.000       0.000       0.000       0.000       3.734
     787.71       3.734       0.000       0.000       0.000       0.000       0.000       3.734
     788.00       3.737       0.000       0.000       0.000       0.000       0.000       3.737
     788.50       3.744       0.000       0.000       0.000       0.000       0.000       3.744
     788.60       3.745       0.000       0.000       0.000       0.000       0.000       3.745
     789.00       3.750       0.000       0.000       0.000       0.000       0.000       3.750
     789.50       3.756       0.000       0.000       0.000       0.000       0.000       3.756
     790.00       3.762       0.000       0.000       0.000       0.000       0.000       3.762
     790.10       3.764       0.000       0.000       0.000       0.000       0.000       3.764
     790.15       3.764       0.000       0.000       0.000       0.000       0.000       3.764
     790.20       3.765       0.000       0.000       0.000       0.000       0.000       3.765
     790.21       3.765       0.000       0.000       0.000       0.000       0.000       3.765
     790.50       3.769       0.000       0.000       0.000       0.000       0.000       3.769
     790.80       3.772       0.000       0.000       0.000       0.000       0.000       3.772
     791.00       3.775       0.000       0.000       0.000       0.000       0.000       3.775
     791.30       3.779       0.000       0.000       0.000       0.000       0.000       3.779
     791.40       3.780       0.000       0.000       0.000       0.000       0.000       3.780
     791.47      10.790       0.000       0.000       0.000       0.000       0.000      10.790
     791.50     100.282       0.000       0.000       0.000       0.000       0.000     100.282
     791.51     124.110       0.000       0.000       0.000       0.000       0.000     124.110
     791.55      16.730       0.000       0.000       0.000       0.000       0.000      16.730
     791.60       5.340       0.000       0.000       0.000       0.000       0.000       5.340
     791.80       4.226       0.000       0.000       0.000       0.000       0.000       4.226
     791.88       3.780       0.000       0.000       0.000       0.000       0.000       3.780
     791.93      36.690       0.000       0.000       0.000       0.000       0.000      36.690
     791.97     277.870       0.000       0.000       0.000       0.000       0.000     277.870
     792.00      14.030       0.000       0.000       0.000       0.000       0.000      14.030
     792.08       2.700       0.000       0.000       0.000       0.000       0.000       2.700
     792.17       5.400       0.000       0.000       0.000       0.000       0.000       5.400
     792.20      18.890       0.000       0.000       0.000       0.000       0.000      18.890
     792.23      51.260       0.000       0.000       0.000       0.000       0.000      51.260
     792.27       6.480       0.000       0.000       0.000       0.000       0.000       6.480
     792.40       3.780       0.000       0.000       0.000       0.000       0.000       3.780
     792.47      16.190       0.000       0.000       0.000       0.000       0.000      16.190
     792.50      37.090       0.000       0.000       0.000       0.000       0.000      37.090
     792.50      37.770       0.000       0.000       0.000       0.000       0.000      37.770
     792.53      10.800       0.000       0.000       0.000       0.000       0.000      10.800
     792.80       4.860       0.000       0.000       0.000       0.000       0.000       4.860
     792.92      19.970       0.000       0.000       0.000       0.000       0.000      19.970
     792.97      60.440       0.000       0.000       0.000       0.000       0.000      60.440
     793.00      32.643       0.000       0.000       0.000       0.000       0.000      32.643
     793.03       8.090       0.000       0.000       0.000       0.000       0.000       8.090
     793.14       2.700       0.000       0.000       0.000       0.000       0.000       2.700
     793.50       2.742       0.000       0.000       0.000       0.000       0.000       2.742
     794.00       2.800       0.000       0.000       0.000       0.000       0.000       2.800
     794.10       2.811       0.000       0.000       0.000       0.000       0.000       2.811
     794.50       2.858       0.000       0.000       0.000       0.000       0.000       2.858
     795.00       2.916       0.000       0.000       0.000       0.000       0.000       2.916
     795.10       2.927       0.000       0.000       0.000       0.000       0.000       2.927
     795.20       2.939       0.000       0.000       0.000       0.000       0.000       2.939
     796.00       3.032       0.000       0.000       0.000       0.000       0.000       3.032
     797.00       3.148       0.000       0.000       0.000       0.000       0.000       3.148
     797.70       3.229       0.000       0.000       0.000       0.000       0.000       3.229
     798.00       3.264       0.000       0.000       0.000       0.000       0.000       3.264
     798.10       3.275       0.000       0.000       0.000       0.000       0.000       3.275
     799.00       3.380       0.000       0.000       0.000       0.000       0.000       3.380
     799.50       3.438       0.000       0.000       0.000       0.000       0.000       3.438
     800.00       3.496       0.000       0.000       0.000       0.000       0.000       3.496
     800.50       3.554       0.000       0.000       0.000       0.000       0.000       3.554
     801.00       3.612       0.000       0.000       0.000       0.000       0.000       3.612
     801.50       3.670       0.000       0.000       0.000       0.000       0.000       3.670
     801.60       3.682       0.000       0.000       0.000       0.000       0.000       3.682
     802.00       3.728       0.000       0.000       0.000       0.000       0.000       3.728
     802.60       3.798       0.000       0.000       0.000       0.000       0.000       3.798
     803.00       3.844       0.000       0.000       0.000       0.000       0.000       3.844
     803.50       3.902       0.000       0.000       0.000       0.000       0.000       3.902
     804.00       3.960       0.000       0.000       0.000       0.000       0.000       3.960
     804.27      36.410       0.000       0.000       0.000       0.000       0.000      36.410
     804.38       9.140       0.000       0.000       0.000       0.000       0.000       9.140
     804.50       5.340       0.000       0.000       0.000       0.000       0.000       5.340
     804.78      48.940       0.000       0.000       0.000       0.000       0.000      48.940
     804.85      56.230       0.000       0.000       0.000       0.000       0.000      56.230
     805.00       7.200       0.000       0.000       0.000       0.000       0.000       7.200
     805.10       2.830       0.000       0.000       0.000       0.000       0.000       2.830
     805.29      11.730       0.000       0.000       0.000       0.000       0.000      11.730
     805.44       3.640       0.000       0.000       0.000       0.000       0.000       3.640
     805.50       2.510       0.000       0.000       0.000       0.000       0.000       2.510
     805.74      15.370       0.000       0.000       0.000       0.000       0.000      15.370
     805.77      18.610       0.000       0.000       0.000       0.000       0.000      18.610
     805.80      20.424       0.000       0.000       0.000       0.000       0.000      20.424
     805.81      21.030       0.000       0.000       0.000       0.000       0.000      21.030
     806.00       3.640       0.000       0.000       0.000       0.000       0.000       3.640
     806.23       5.910       0.000       0.000       0.000       0.000       0.000       5.910
     806.42       1.620       0.000       0.000       0.000       0.000       0.000       1.620
     806.49       2.020       0.000       0.000       0.000       0.000       0.000       2.020
     806.50       2.021       0.000       0.000       0.000       0.000       0.000       2.021
     806.60       2.028       0.000       0.000       0.000       0.000       0.000       2.028
     807.00       2.057       0.000       0.000       0.000       0.000       0.000       2.057
     808.00       2.129       0.000       0.000       0.000       0.000       0.000       2.129
     808.20       2.144       0.000       0.000       0.000       0.000       0.000       2.144
     808.50       2.165       0.000       0.000       0.000       0.000       0.000       2.165
     808.80       2.187       0.000       0.000       0.000       0.000       0.000       2.187
     809.00       2.202       0.000       0.000       0.000       0.000       0.000       2.202
     809.30       2.223       0.000       0.000       0.000       0.000       0.000       2.223
     809.50       2.238       0.000       0.000       0.000       0.000       0.000       2.238
     810.00       2.274       0.000       0.000       0.000       0.000       0.000       2.274
     810.50       2.310       0.000       0.000       0.000       0.000       0.000       2.310
     810.66      15.230       0.000       0.000       0.000       0.000       0.000      15.230
     810.85       2.820       0.000       0.000       0.000       0.000       0.000       2.820
     811.00      32.623       0.000       0.000       0.000       0.000       0.000      32.623
     811.05      42.760       0.000       0.000       0.000       0.000       0.000      42.760
     811.26       3.390       0.000       0.000       0.000       0.000       0.000       3.390
     811.49       7.900       0.000       0.000       0.000       0.000       0.000       7.900
     811.61       4.740       0.000       0.000       0.000       0.000       0.000       4.740
     811.70       6.600       0.000       0.000       0.000       0.000       0.000       6.600
     811.80       2.796       0.000       0.000       0.000       0.000       0.000       2.796
     811.81       2.430       0.000       0.000       0.000       0.000       0.000       2.430
     812.00       3.670       0.000       0.000       0.000       0.000       0.000       3.670
     812.09      11.170       0.000       0.000       0.000       0.000       0.000      11.170
     812.15      13.540       0.000       0.000       0.000       0.000       0.000      13.540
     812.27       3.950       0.000       0.000       0.000       0.000       0.000       3.950
     812.50       1.970       0.000       0.000       0.000       0.000       0.000       1.970
     812.80       2.215       0.000       0.000       0.000       0.000       0.000       2.215
     813.00       2.378       0.000       0.000       0.000       0.000       0.000       2.378
     813.50       2.786       0.000       0.000       0.000       0.000       0.000       2.786
     813.70       2.950       0.000       0.000       0.000       0.000       0.000       2.950
     814.00       3.194       0.000       0.000       0.000       0.000       0.000       3.194
     814.50       3.603       0.000       0.000       0.000       0.000       0.000       3.603
     814.90       3.929       0.000       0.000       0.000       0.000       0.000       3.929
     815.00       4.011       0.000       0.000       0.000       0.000       0.000       4.011
     815.50       4.419       0.000       0.000       0.000       0.000       0.000       4.419
     816.00       4.827       0.000       0.000       0.000       0.000       0.000       4.827
     816.42       5.170       0.000       0.000       0.000       0.000       0.000       5.170
     816.50       5.270       0.000       0.000       0.000       0.000       0.000       5.270
     816.77      65.140       0.000       0.000       0.000       0.000       0.000      65.140
     816.86      79.310       0.000       0.000       0.000       0.000       0.000      79.310
     817.00       4.140       0.000       0.000       0.000       0.000       0.000       4.140
     817.19       1.860       0.000       0.000       0.000       0.000       0.000       1.860
     817.20       1.900       0.000       0.000       0.000       0.000       0.000       1.900
     817.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     817.58       4.960       0.000       0.000       0.000       0.000       0.000       4.960
     817.78      22.020       0.000       0.000       0.000       0.000       0.000      22.020
