    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
      93.61       0.287       0.307       0.201       0.086       0.077       0.136       1.096
      94.07       0.291       0.310       0.203       0.097       0.077       0.137       1.108
      94.25       0.292       0.311       0.204       0.097       0.068       0.138       1.113
      94.39       0.293       0.312       0.205       0.098       0.068       0.138       1.116
      94.81       0.296       0.316       0.207       0.099       0.079       0.140       1.127
      94.90       0.296       0.316       0.208       0.099       0.079       0.140       1.130
      95.37       0.300       0.320       0.210       0.090       0.080       0.141       1.142
      95.40       0.300       0.318       0.210       0.090       0.080       0.141       1.143
      95.51       0.301       0.311       0.210       0.090       0.080       0.142       1.146
      95.81       0.303       0.323       0.212       0.091       0.081       0.143       1.153
      96.05       0.304       0.324       0.213       0.101       0.081       0.143       1.159
      96.49       0.307       0.328       0.215       0.102       0.082       0.145       1.170
      96.83       0.309       0.330       0.216       0.103       0.072       0.145       1.178
      97.12       0.311       0.332       0.218       0.104       0.073       0.146       1.185
      97.51       0.314       0.335       0.220       0.094       0.084       0.147       1.194
      97.87       0.316       0.337       0.221       0.105       0.084       0.148       1.203
      98.12       0.318       0.339       0.222       0.106       0.085       0.149       1.209
      98.23       0.318       0.339       0.223       0.106       0.085       0.149       1.212
      98.50       0.320       0.341       0.224       0.107       0.085       0.150       1.218
      98.88       0.322       0.344       0.226       0.107       0.086       0.151       1.227
      99.44       0.326       0.348       0.228       0.098       0.076       0.153       1.241
      99.71       0.328       0.350       0.229       0.098       0.076       0.153       1.248
      99.99       0.330       0.352       0.231       0.110       0.088       0.154       1.254
     100.54       0.333       0.355       0.233       0.111       0.089       0.156       1.268
     100.96       0.336       0.358       0.235       0.112       0.090       0.157       1.278
     101.57       0.340       0.362       0.238       0.102       0.091       0.159       1.293
     102.15       0.344       0.366       0.241       0.115       0.080       0.160       1.307
     103.01       0.349       0.372       0.244       0.116       0.093       0.163       1.327
     103.15       0.350       0.373       0.245       0.117       0.093       0.163       1.331
     103.17       0.350       0.374       0.245       0.117       0.093       0.163       1.331
     103.30       0.351       0.374       0.246       0.113       0.094       0.163       1.334
     103.58       0.353       0.376       0.247       0.106       0.094       0.164       1.342
     103.94       0.355       0.379       0.249       0.118       0.095       0.165       1.351
     104.23       0.358       0.381       0.250       0.119       0.095       0.166       1.358
     104.76       0.361       0.385       0.253       0.120       0.084       0.167       1.372
     105.23       0.365       0.389       0.255       0.122       0.097       0.168       1.384
     106.25       0.372       0.396       0.260       0.124       0.099       0.171       1.410
     106.57       0.374       0.399       0.262       0.125       0.100       0.171       1.419
     106.93       0.376       0.402       0.264       0.125       0.088       0.172       1.428
     107.80       0.383       0.408       0.268       0.128       0.099       0.174       1.450
     108.05       0.384       0.410       0.269       0.128       0.102       0.175       1.457
     108.46       0.387       0.413       0.271       0.129       0.103       0.176       1.467
     109.50       0.395       0.421       0.276       0.132       0.105       0.178       1.494
     109.98       0.398       0.424       0.279       0.133       0.106       0.179       1.506
     110.56       0.402       0.429       0.281       0.121       0.107       0.181       1.521
     110.62       0.402       0.429       0.282       0.121       0.107       0.181       1.523
     110.76       0.403       0.430       0.282       0.121       0.108       0.181       1.526
     111.16       0.406       0.433       0.284       0.135       0.095       0.182       1.537
     111.25       0.407       0.434       0.285       0.136       0.095       0.182       1.539
     112.70       0.417       0.445       0.292       0.131       0.105       0.186       1.576
     113.80       0.425       0.453       0.297       0.127       0.113       0.188       1.603
     114.09       0.427       0.455       0.299       0.142       0.114       0.188       1.611
     114.24       0.428       0.456       0.299       0.143       0.114       0.189       1.614
     115.39       0.436       0.465       0.305       0.131       0.102       0.191       1.643
