Photoabsorption and Partial Photoionization Cross Sections for Molecular Nitrogen
   LAM     ABS    ION   FRAG    N2+    X      A      B      C      F     G+E     HP     H    N2++    K
 733.01 22.862 20.169  0.000 20.169 13.053  7.116  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 734.01 22.702 20.482  0.000 20.482 14.113  6.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 735.01 22.542 20.789  0.000 20.789 15.195  5.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 736.01 22.430 20.983  0.000 20.983 16.049  4.934  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 737.01 22.703 20.310  0.000 20.310 14.977  5.333  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 738.01 22.975 19.614  0.000 19.614 13.926  5.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 739.01 23.248 18.895  0.000 18.895 12.897  5.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 740.01 23.521 18.155  0.000 18.155 11.894  6.261  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 741.01 23.489 17.843  0.000 17.843 11.859  5.984  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 742.01 23.333 17.711  0.000 17.711 12.170  5.541  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 743.01 23.177 17.580  0.000 17.580 12.476  5.104  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 744.01 22.742 17.238  0.000 17.238 12.621  4.617  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 745.01 22.040 16.694  0.000 16.694 12.598  4.096  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 746.01 21.338 16.150  0.000 16.150 12.551  3.599  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 747.01 20.636 15.608  0.000 15.608 12.481  3.127  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 748.01 19.933 15.066  0.000 15.066 12.386  2.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 749.01 18.838 14.227  0.000 14.227 12.017  2.210  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 750.01 17.482 13.194  0.000 13.194 11.441  1.753  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 750.01 17.482 13.194  0.000 13.194 11.441  1.753  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 751.01 16.126 12.162  0.000 12.162 10.820  1.342  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 752.01 14.771 11.132  0.000 11.132 10.154  0.978  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 753.01 15.370 11.575  0.000 11.575 10.819  0.756  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 754.01 23.322 17.551  0.000 17.551 16.799  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 755.01 30.400 22.861  0.000 22.861 22.396  0.465  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 756.01 29.011 21.801  0.000 21.801 21.801  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 757.01 27.297 20.498  0.000 20.498 20.498  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 758.01 25.583 19.197  0.000 19.197 19.197  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 758.68 24.434 18.326  0.000 18.326 18.326  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 759.01 18.864 15.067  0.000 15.067 15.067  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 759.44 12.695 10.733  0.000 10.733 10.733  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 760.01 24.024 15.348  0.000 15.348 15.348  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 760.30 27.800 15.846  0.000 15.846 15.846  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 761.01 27.863 17.230  0.000 17.230 17.230  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 761.13 27.876 17.503  0.000 17.503 17.503  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 762.01 27.967 19.512  0.000 19.512 19.512  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 763.01 28.070 21.810  0.000 21.810 21.810  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 764.01 18.547 13.521  0.000 13.521 13.521  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 765.01 81.013 61.547  0.000 61.547 61.547  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 765.15 89.056 68.397  0.000 68.397 68.397  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 766.01 55.645 40.854  0.000 40.854 40.854  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 767.01 16.795 11.670  0.000 11.670 11.670  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 768.01 14.203  9.309  0.000  9.309  9.309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 769.01 17.114 10.544  0.000 10.544 10.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 770.01 20.026 11.550  0.000 11.550 11.550  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 770.41 21.191 11.888  0.000 11.888 11.888  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 771.01 22.938 12.326  0.000 12.326 12.326  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 772.01 25.850 12.873  0.000 12.873 12.873  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 773.01 28.761 13.191  0.000 13.191 13.191  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 774.01 31.673 13.280  0.000 13.280 13.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 775.01 31.060 13.171  0.000 13.171 13.171  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 776.01 27.060 12.751  0.000 12.751 12.751  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 777.01 23.060 11.954  0.000 11.954 11.954  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 778.01 19.060 10.780  0.000 10.780 10.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 779.01 15.060  9.228  0.000  9.228  9.228  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 780.01 11.840  7.736  0.000  7.736  7.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 780.32 11.672  7.738  0.000  7.738  7.738  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 781.01 11.298  7.730  0.000  7.730  7.730  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 782.01 10.756  7.690  0.000  7.690  7.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 783.01 10.213  7.616  0.000  7.616  7.616  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 784.01  9.671  7.509  0.000  7.509  7.509  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 785.01  9.129  7.369  0.000  7.369  7.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 786.01  8.587  7.195  0.000  7.195  7.195  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 786.47  8.337  7.104  0.000  7.104  7.104  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 787.01  8.044  6.989  0.000  6.989  6.989  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 787.71  7.728  6.864  0.000  6.864  6.864  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 788.01  9.469  7.890  0.000  7.890  7.890  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 789.01 15.274  9.925  0.000  9.925  9.925  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 790.01 21.078  9.833  0.000  9.833  9.833  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 790.15 21.600  9.720  0.000  9.720  9.720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 791.01 20.413  9.186  0.000  9.186  9.186  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 792.01 18.947  8.526  0.000  8.526  8.526  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 793.01 17.482  7.867  0.000  7.867  7.867  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 794.01 16.016  7.207  0.000  7.207  7.207  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 795.01 14.551  6.548  0.000  6.548  6.548  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 796.01 13.085  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 797.01 11.620  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 798.01  7.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 799.01  5.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 800.01  8.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 801.01 45.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 802.01 45.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 803.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 804.01 29.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 805.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 806.01 31.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 807.01 44.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 808.01 44.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 809.01 23.400  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 810.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 811.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 812.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 813.01 35.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 814.01 35.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 815.01 35.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 816.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 817.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 818.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 819.01 49.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 820.01 49.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 821.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 822.01 16.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 823.01 16.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 824.01  9.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 825.01  9.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 826.01 15.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 827.01 15.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 828.01 15.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 829.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 830.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 831.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 832.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 833.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 834.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 834.20 15.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 835.01 32.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 836.01 32.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 837.01 32.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 838.01  8.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 839.01  8.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 840.01  8.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 841.01 21.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 842.01 21.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 843.01 21.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 844.01 21.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 845.01 11.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 846.01 11.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 847.01 11.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 848.01  3.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 849.01  3.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 850.01 13.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 851.01 13.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 852.01 13.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 853.01 13.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 854.01 36.400  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 855.01 36.400  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 856.01 36.400  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 857.01 53.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 858.01 29.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 859.01 29.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 860.01 29.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 861.01  9.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 862.01  9.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 863.01  9.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 864.01 16.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 865.01 16.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 866.01 54.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 867.01 42.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 868.01 42.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 869.01 42.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 870.01 42.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 871.01 36.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 872.01 38.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 873.01 38.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 874.01 38.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 875.01 38.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 876.01 47.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 877.01 47.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 878.01 47.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 879.01 47.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 880.01 47.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 881.01 63.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 882.01 63.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 883.01 63.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 884.01 63.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 885.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 886.01 49.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 887.01 76.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 888.01 76.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 889.01  9.400  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 890.01  9.400  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 891.01 45.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 892.01 45.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 893.01 45.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 894.01 10.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 895.01 10.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 896.01 10.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 897.01 61.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 898.01 06.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 899.01 06.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 900.01 18.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 901.01 18.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 902.01 22.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 903.01 19.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 904.01 20.400  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 904.10  6.300  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 905.01 18.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 906.01 18.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 907.01 18.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 908.01 11.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 909.01 11.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 910.01 11.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 911.01 14.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 912.01 14.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 913.01 40.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 913.99 40.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 914.01 40.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 914.99 40.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 915.01 40.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 915.99 40.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 916.01 40.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 916.99 10.310  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 917.01 10.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 918.01 10.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 918.99 10.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 919.01 10.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 920.01 95.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 920.96 95.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 921.01 95.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 922.01 55.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 923.01 31.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 923.15 31.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 924.01 31.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 925.01 31.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 926.01 19.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 926.20 19.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 927.01 19.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 928.01 19.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 929.01 64.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 930.01 64.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 930.75 14.750  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 931.01 64.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 932.01  3.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 933.01  3.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 933.38  3.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 934.01  3.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 935.01  3.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 936.01  2.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 937.01  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
