Photoabsorption and Partial Photoionization Cross Sections for Molecular Oxygen
   LAM     ABS    ION   FRAG    O2+    X      a+A     b       B   2pi+c  2sig   33 eV  2,4sig  K
  761.01 20.492 10.876  0.000 10.876  9.467  1.410  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  761.13 20.213 10.765  0.000 10.765  9.388  1.377  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  762.01 19.669 11.053  0.000 11.053  9.780  1.273  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  763.01 21.250 12.420  0.000 12.420 11.168  1.252  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  764.01 19.374 11.088  0.000 11.088 10.130  0.958  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  765.01 19.971 10.821  0.000 10.821 10.042  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  765.15 20.818 11.211  0.000 11.211 10.427  0.784  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  766.01 20.758 11.036  0.000 11.036 10.401  0.635  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  767.01 19.557 11.010  0.000 11.010 10.535  0.475  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  768.01 18.175 11.669  0.000 11.669 11.334  0.335  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  769.01 19.278 12.049  0.000 12.049 11.877  0.172  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  770.01 17.144 10.483  0.000 10.483 10.483  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  770.41 18.905 10.867  0.000 10.867 10.867  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  771.01 20.897  9.872  0.000  9.872  9.872  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  772.01 24.000 10.230  0.000 10.230 10.230  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  773.01 26.413 13.616  0.000 13.616 13.616  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  774.01 20.869 12.618  0.000 12.618 12.618  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  775.01 14.356 10.943  0.000 10.943 10.943  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  776.01 18.512 12.938  0.000 12.938 12.938  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  777.01 23.722 15.295  0.000 15.295 15.295  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  778.01 28.932 17.652  0.000 17.652 17.652  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  779.01 25.149 12.635  0.000 12.635 12.635  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  780.01 27.823 10.795  0.000 10.795 10.795  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  780.32 25.054 10.872  0.000 10.872 10.872  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  781.01 18.891 11.043  0.000 11.043 11.043  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  782.01 16.819 10.487  0.000 10.487 10.487  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  783.01 20.705  9.168  0.000  9.168  9.168  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  784.01 23.986 10.439  0.000 10.439 10.439  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  785.01 24.339 10.179  0.000 10.179 10.179  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  786.01 26.619 10.774  0.000 10.774 10.774  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  786.47 20.072 10.352  0.000 10.352 10.352  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  787.01 22.752 12.697  0.000 12.697 12.697  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  787.71 25.270 15.566  0.000 15.566 15.566  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  788.01 24.246 16.288  0.000 16.288 16.288  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  789.01 26.811 10.800  0.000 10.800 10.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  790.01 28.230 11.520  0.000 11.520 11.520  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  790.15 27.468 11.279  0.000 11.279 11.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  791.01 22.791  9.802  0.000  9.802  9.802  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  792.01 25.537 10.986  0.000 10.986 10.986  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  793.01 25.754 11.969  0.000 11.969 11.969  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  794.01 33.197 12.256  0.000 12.256 12.256  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  795.01 23.093  7.480  0.000  7.480  7.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  796.01 22.015  7.494  0.000  7.494  7.494  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  797.01 27.706 12.529  0.000 12.529 12.529  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  798.01 27.884 13.118  0.000 13.118 13.118  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  799.01 35.263 13.733  0.000 13.733 13.733  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  800.01 36.748 12.797  0.000 12.797 12.797  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  801.01 30.723  9.430  0.000  9.430  9.430  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  802.01 30.067  8.969  0.000  8.969  8.969  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  803.01 30.509 12.013  0.000 12.013 12.013  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  804.01 33.406 12.788  0.000 12.788 12.788  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  805.01 47.828 12.323  0.000 12.323 12.323  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  806.01 38.965 11.212  0.000 11.212 11.212  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  807.01 27.984 10.076  0.000 10.076 10.076  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  808.01 35.117 12.868  0.000 12.868 12.868  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  809.01 26.058 10.383  0.000 10.383 10.383  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  810.01 31.631 10.995  0.000 10.995 10.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  811.01 44.731 13.377  0.000 13.377 13.377  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  812.01 47.376 13.137  0.000 13.137 13.137  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  813.01 31.773  8.820  0.000  8.820  8.820  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  814.01 30.753  9.580  0.000  9.580  9.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  815.01 19.889  9.909  0.000  9.909  9.909  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  816.01 31.540 15.411  0.000 15.411 15.411  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  817.01 43.190 20.912  0.000 20.912 20.912  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  818.01 24.905  9.900  0.000  9.900  9.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  819.01 25.937  9.144  0.000  9.144  9.144  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  820.01 29.445 10.800  0.000 10.800 10.800  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  821.01 19.025  9.063  0.000  9.063  9.063  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  822.01 20.592  9.533  0.000  9.533  9.533  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  823.01 27.056 10.904  0.000 10.904 10.904  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  824.01 17.231  6.810  0.000  6.810  6.810  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  825.01 23.065  8.420  0.000  8.420  8.420  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  826.01 28.814 10.360  0.000 10.360 10.360  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  827.01 11.987  5.661  0.000  5.661  5.661  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  828.01 11.812  5.955  0.000  5.955  5.955  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  829.01 18.611  7.396  0.000  7.396  7.396  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  830.01 20.925  7.778  0.000  7.778  7.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  831.01 10.939  4.131  0.000  4.131  4.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  832.01 25.578  7.853  0.000  7.853  7.853  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  833.01 25.632  7.897  0.000  7.897  7.897  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  834.01 11.676  4.408  0.000  4.408  4.408  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  834.20 10.514  4.187  0.000  4.187  4.187  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  835.01 10.371  4.255  0.000  4.255  4.255  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  836.01 14.841  5.103  0.000  5.103  5.103  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  837.01 14.301  4.878  0.000  4.878  4.878  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  838.01 14.682  5.852  0.000  5.852  5.852  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  839.01 24.265 10.625  0.000 10.625 10.625  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  840.01 19.855  8.445  0.000  8.445  8.445  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  841.01 14.272  5.864  0.000  5.864  5.864  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  842.01  8.690  3.284  0.000  3.284  3.284  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  843.01 10.379  3.610  0.000  3.610  3.610  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  844.01 11.695  3.996  0.000  3.996  3.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  845.01 12.748  4.191  0.000  4.191  4.191  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  846.01 17.886  5.032  0.000  5.032  5.032  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  847.01 11.318  3.412  0.000  3.412  3.412  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  848.01  7.613  2.694  0.000  2.694  2.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  849.01  7.544  3.167  0.000  3.167  3.167  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  850.01  8.735  3.948  0.000  3.948  3.948  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  851.01  9.295  4.110  0.000  4.110  4.110  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  852.01  9.174  3.748  0.000  3.748  3.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  853.01 12.098  5.289  0.000  5.289  5.289  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  854.01 10.141  4.427  0.000  4.427  4.427  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  855.01  7.084  3.019  0.000  3.019  3.019  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  856.01  8.379  3.488  0.000  3.488  3.488  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  857.01  9.673  3.958  0.000  3.958  3.958  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  858.01  8.797  3.635  0.000  3.635  3.635  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  859.01  7.034  2.988  0.000  2.988  2.988  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  860.01  7.034  2.949  0.000  2.949  2.949  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  861.01  7.448  3.056  0.000  3.056  3.056  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  862.01  7.965  3.449  0.000  3.449  3.449  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  863.01  8.482  3.841  0.000  3.841  3.841  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  864.01  8.999  4.234  0.000  4.234  4.234  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  865.01  8.795  4.252  0.000  4.252  4.252  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  866.01  7.555  3.731  0.000  3.731  3.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  867.01  6.314  3.210  0.000  3.210  3.210  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  868.01  6.028  3.297  0.000  3.297  3.297  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  869.01  7.113  4.258  0.000  4.258  4.258  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  870.01  8.181  5.204  0.000  5.204  5.204  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  871.01  8.960  5.410  0.000  5.410  5.410  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  872.01  9.331  5.530  0.000  5.530  5.530  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  873.01  8.156  4.835  0.000  4.835  4.835  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  874.01  6.981  4.140  0.000  4.140  4.140  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  875.01  5.806  3.444  0.000  3.444  3.444  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  876.01  7.765  4.778  0.000  4.778  4.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  877.01 10.460  6.587  0.000  6.587  6.587  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  878.01 13.155  8.397  0.000  8.397  8.397  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  879.01 11.900  7.641  0.000  7.641  7.641  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  880.01 10.254  6.632  0.000  6.632  6.632  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  881.01  8.608  5.623  0.000  5.623  5.623  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  882.01  6.962  4.614  0.000  4.614  4.614  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  883.01  5.315  3.605  0.000  3.605  3.605  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  884.01  8.538  5.648  0.000  5.648  5.648  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  885.01 13.748  8.938  0.000  8.938  8.938  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  886.01 17.035 10.997  0.000 10.997 10.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  887.01 13.088  8.426  0.000  8.426  8.426  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  888.01  9.140  5.854  0.000  5.854  5.854  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  889.01  5.193  3.283  0.000  3.283  3.283  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  890.01  7.006  4.515  0.000  4.515  4.515  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  891.01  9.388  6.123  0.000  6.123  6.123  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  892.01  9.368  6.359  0.000  6.359  6.359  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  893.01  5.895  4.622  0.000  4.622  4.622  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  894.01 11.134  7.420  0.000  7.420  7.420  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  895.01  8.032  5.146  0.000  5.146  5.146  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  896.01  5.843  3.610  0.000  3.610  3.610  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  897.01  7.084  4.851  0.000  4.851  4.851  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  898.01  6.122  4.644  0.000  4.644  4.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  899.01  5.684  4.325  0.000  4.325  4.325  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  900.01  8.413  5.069  0.000  5.069  5.069  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  901.01 12.951  7.890  0.000  7.890  7.890  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  902.01  9.682  5.957  0.000  5.957  5.957  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  903.01 10.303  6.163  0.000  6.163  6.163  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  904.01 10.252  6.080  0.000  6.080  6.080  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  904.10 10.020  5.975  0.000  5.975  5.975  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  905.01  7.675  4.907  0.000  4.907  4.907  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  906.01  5.099  3.733  0.000  3.733  3.733  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  907.01  6.577  4.779  0.000  4.779  4.779  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  908.01 10.647  7.245  0.000  7.245  7.245  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  909.01 14.718  9.710  0.000  9.710  9.710  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  910.01 15.303 10.071  0.000 10.071 10.071  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  911.01 15.340  9.836  0.000  9.836  9.836  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  912.01 11.123  7.231  0.000  7.231  7.231  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  913.01  6.905  4.626  0.000  4.626  4.626  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  913.99  5.902  4.261  0.000  4.261  4.261  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  914.01  5.945  4.298  0.000  4.298  4.298  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  914.99  6.364  4.659  0.000  4.659  4.659  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  915.01  6.290  4.595  0.000  4.595  4.595  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  915.99  8.534  5.423  0.000  5.423  5.423  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  916.01  8.761  5.562  0.000  5.562  5.562  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  916.99 19.917 12.363  0.000 12.363 12.363  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  917.01 20.145 12.502  0.000 12.502 12.502  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  918.01 18.767 11.676  0.000 11.676 11.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  918.99 12.308  7.758  0.000  7.758  7.758  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  919.01 12.176  7.678  0.000  7.678  7.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  920.01  5.585  3.680  0.000  3.680  3.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  920.96  4.396  3.534  0.000  3.534  3.534  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  921.01  4.520  3.660  0.000  3.660  3.660  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  922.01  6.987  6.182  0.000  6.182  6.182  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  923.01  9.454  8.705  0.000  8.705  8.705  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  923.15  9.583  8.792  0.000  8.792  8.792  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  924.01 16.334 13.510  0.000 13.510 13.510  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  925.01 18.152 14.735  0.000 14.735 14.735  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  926.01  7.770  6.410  0.000  6.410  6.410  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  926.20  5.798  4.828  0.000  4.828  4.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  927.01  3.911  3.144  0.000  3.144  3.144  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  928.01  3.483  2.790  0.000  2.790  2.790  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  929.01  4.027  3.360  0.000  3.360  3.360  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  930.01  4.094  3.427  0.000  3.427  3.427  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  930.75 23.756 15.320  0.000 15.320 15.320  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  931.01 19.778 12.848  0.000 12.848 12.848  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  932.01 21.561 14.936  0.000 14.936 14.936  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  933.01 23.733 16.684  0.000 16.684 16.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  933.38 20.747 14.615  0.000 14.615 14.615  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  934.01 15.662 11.090  0.000 11.090 11.090  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  935.01  7.590  5.496  0.000  5.496  5.496  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  936.01  7.505  4.551  0.000  4.551  4.551  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  937.01 18.912 10.294  0.000 10.294 10.294  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  937.80 27.922 14.831  0.000 14.831 14.831  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  938.01 30.318 16.037  0.000 16.037 16.037  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  939.01 41.724 21.781  0.000 21.781 21.781  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  940.01 39.353 20.614  0.000 20.614 20.614  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  941.01 31.355 16.626  0.000 16.626 16.626  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  942.01 23.357 12.637  0.000 12.637 12.637  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  943.01 15.359  8.649  0.000  8.649  8.649  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  944.01  7.361  4.660  0.000  4.660  4.660  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  944.52  3.282  2.626  0.000  2.626  2.626  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  945.01  9.726  7.220  0.000  7.220  7.220  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  946.01 27.001 19.201  0.000 19.201 19.201  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  947.01 44.276 31.182  0.000 31.182 31.182  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  948.01 49.762 34.981  0.000 34.981 34.981  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  949.01 29.007 20.567  0.000 20.567 20.567  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  949.74 13.856 10.044  0.000 10.044 10.044  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  950.01  8.252  6.152  0.000  6.152  6.152  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  951.01  8.886  7.243  0.000  7.243  7.243  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  952.01 18.257 14.666  0.000 14.666 14.666  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  953.01 27.627 22.090  0.000 22.090 22.090  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  954.01 36.998 29.513  0.000 29.513 29.513  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  955.01 46.368 36.936  0.000 36.936 36.936  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  956.01 51.177 40.627  0.000 40.627 40.627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  957.01 35.246 27.083  0.000 27.083 27.083  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  958.01 24.292 18.598  0.000 18.598 18.598  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  959.01 13.338 10.112  0.000 10.112 10.112  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  960.01  2.563  1.770  0.000  1.770  1.770  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  961.01  9.477  7.528  0.000  7.528  7.528  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  962.01 14.539 11.744  0.000 11.744 11.744  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  963.01 10.144  7.758  0.000  7.758  7.758  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  964.01 26.546 19.887  0.000 19.887 19.887  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  965.01 42.949 32.017  0.000 32.017 32.017  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  966.01 45.931 34.223  0.000 34.223 34.223  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  967.01 36.020 26.893  0.000 26.893 26.893  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  968.01 26.108 19.564  0.000 19.564 19.564  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  969.01 16.196 12.235  0.000 12.235 12.235  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  970.01  6.285  4.905  0.000  4.905  4.905  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  971.01 10.905  8.047  0.000  8.047  8.047  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  972.01 24.817 17.882  0.000 17.882 17.882  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  972.54 32.750 23.409  0.000 23.409 23.409  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  973.01 40.240 27.962  0.000 27.962 27.962  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  974.01 16.980 11.493  0.000 11.493 11.493  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  975.01 19.106  7.410  0.000  7.410  7.410  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  976.01 23.467  8.584  0.000  8.584  8.584  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  977.01 18.779  7.045  0.000  7.045  7.045  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  977.02 18.733  7.030  0.000  7.030  7.030  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  978.01 14.092  5.506  0.000  5.506  5.506  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  979.01  9.404  3.967  0.000  3.967  3.967  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  980.01  4.716  2.429  0.000  2.429  2.429  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
