Fennally et al cross sections at Hinteregger wavelengths.
     WVLN         O Ion        O2 Ion       O2 Abs       N2 Ion       N2 Abs  
    86.8600       0.9251       1.6293       1.6293       0.8886       0.8886
    86.9800       0.9280       1.6350       1.6350       0.8920       0.8920
    87.3000       0.9350       1.6510       1.6510       0.9020       0.9020
    87.6100       0.9410       1.6660       1.6660       0.9120       0.9120
    88.0900       0.9518       1.6895       1.6895       0.9267       0.9267
    88.1100       0.9520       1.6900       1.6900       0.9270       0.9270
    88.1400       0.9530       1.6920       1.6920       0.9280       0.9280
    88.4200       0.9590       1.7050       1.7050       0.9370       0.9370
    88.6400       0.9640       1.7160       1.7160       0.9430       0.9430
    88.9000       0.9710       1.7280       1.7280       0.9510       0.9510
    89.1400       0.9770       1.7400       1.7400       0.9590       0.9590
    89.7000       0.9920       1.7670       1.7670       0.9760       0.9760
    90.1400       1.0040       1.7890       1.7890       0.9900       0.9900
    90.4500       1.0120       1.8040       1.8040       0.9990       0.9990
    90.7100       1.0190       1.8160       1.8160       1.0070       1.0070
    91.0000       1.0260       1.8310       1.8310       1.0160       1.0160
    91.4800       1.0390       1.8540       1.8540       1.0310       1.0310
    91.6900       1.0450       1.8640       1.8640       1.0370       1.0370
    91.8100       1.0480       1.8700       1.8700       1.0410       1.0410
    92.0900       1.0550       1.8840       1.8840       1.0500       1.0500
    92.8100       1.0740       1.9190       1.9190       1.0720       1.0720
    93.6100       1.0960       1.9570       1.9570       1.0970       1.0970
    94.0700       1.1080       1.9800       1.9800       1.1110       1.1110
    94.2500       1.1130       1.9890       1.9890       1.1160       1.1160
    94.3900       1.1160       1.9950       1.9950       1.1210       1.1210
    94.9000       1.1300       2.0200       2.0200       1.1360       1.1360
    95.3700       1.1420       2.0430       2.0430       1.1510       1.1510
    95.5100       1.1460       2.0500       2.0500       1.1550       1.1550
    95.8100       1.1530       2.0640       2.0640       1.1640       1.1640
    96.0500       1.1590       2.0760       2.0760       1.1720       1.1720
    96.4900       1.1700       2.0970       2.0970       1.1850       1.1850
    96.8300       1.1780       2.1140       2.1140       1.1960       1.1960
    97.1200       1.1850       2.1280       2.1280       1.2050       1.2050
    97.5100       1.1940       2.1470       2.1470       1.2170       1.2170
    97.8700       1.2030       2.1640       2.1640       1.2280       1.2280
    98.1200       1.2090       2.1770       2.1770       1.2350       1.2350
    98.2600       1.2127       2.1834       2.1834       1.2399       1.2399
    98.5000       1.2180       2.1950       2.1950       1.2470       1.2470
    99.7100       1.2480       2.2540       2.2540       1.2840       1.2840
    99.9900       1.2540       2.2670       2.2670       1.2930       1.2930
   100.5400       1.2680       2.2940       2.2940       1.3100       1.3100
   103.0100       1.3270       2.4140       2.4140       1.3860       1.3860
   103.1500       1.3310       2.4210       2.4210       1.3900       1.3900
   103.5800       1.3420       2.4420       2.4420       1.4040       1.4040
   103.9400       1.3510       2.4590       2.4590       1.4150       1.4150
   105.2300       1.3840       2.5220       2.5220       1.4540       1.4540
   106.2500       1.4100       2.5720       2.5720       1.4860       1.4860
   108.0500       1.4570       2.6590       2.6590       1.5410       1.5410
   109.9800       1.5060       2.7530       2.7530       1.6010       1.6010
   110.5600       1.5210       2.7810       2.7810       1.6190       1.6190
   110.6200       1.5230       2.7840       2.7840       1.6200       1.6200
   110.7600       1.5260       2.7910       2.7910       1.6250       1.6250
   111.1600       1.5370       2.8100       2.8100       1.6370       1.6370
   111.2500       1.5390       2.8150       2.8150       1.6400       1.6400
   113.8000       1.6030       2.9390       2.9390       1.7180       1.7180
